Index,Gate,Qubits,Classical Bits,Parameters (rad)
0,rz,1,-,[0.47124]
1,rz,2,-,[-2.51327]
2,rz,3,-,[1.13097]
3,rz,4,-,[0.0]
4,sx,4,-,None
5,rz,4,-,[5.7177]
6,sx,4,-,None
7,rz,4,-,[9.42478]
8,rz,4,-,[1.06814]
9,cz,"[3, 4]",-,None
10,rz,4,-,[-4.20973]
11,rz,4,-,[0.0]
12,sx,4,-,None
13,rz,4,-,[0.56549]
14,sx,4,-,None
15,rz,4,-,[9.42478]
16,rz,6,-,[1.35088]
17,rz,6,-,[0.0]
18,sx,6,-,None
19,rz,6,-,[3.3615]
20,sx,6,-,None
21,rz,6,-,[9.42478]
22,cz,"[5, 6]",-,None
23,rz,6,-,[0.0]
24,sx,6,-,None
25,rz,6,-,[2.92168]
26,sx,6,-,None
27,rz,6,-,[9.42478]
28,cz,"[5, 6]",-,None
29,rz,6,-,[1.5708]
30,rz,6,-,[0.0]
31,sx,6,-,None
32,rz,6,-,[3.70708]
33,sx,6,-,None
34,rz,6,-,[9.42478]
35,cz,"[5, 6]",-,None
36,rz,6,-,[0.0]
37,sx,6,-,None
38,rz,6,-,[2.57611]
39,sx,6,-,None
40,rz,6,-,[9.42478]
41,cz,"[5, 6]",-,None
42,measure,2,[0],None
43,measure,3,[1],None
