step,f1_GHz,coh1,f2_GHz,coh2,status_f1,status_f2
1,3.2169,0.504,2.8339,0.548,TRACKING,TRACKING
2,3.0224,0.733,2.8913,0.561,TRACKING,TRACKING
3,3.4767,0.661,3.2963,0.566,TRACKING,TRACKING
4,4.3816,0.772,3.9271,0.664,TRACKING,TRACKING
5,4.5097,0.946,3.909,0.805,TRACKING,TRACKING
6,4.5837,0.958,4.1541,0.803,TRACKING,TRACKING
7,4.6002,0.974,4.0057,0.855,TRACKING,TRACKING
8,4.7453,0.964,3.7086,0.857,TRACKING,TRACKING
9,4.771,0.979,3.965,0.763,TRACKING,TRACKING
10,4.6169,0.988,3.9817,0.81,TRACKING,TRACKING
11,4.6948,0.97,4.1398,0.833,TRACKING,TRACKING
12,4.8807,0.969,4.0014,0.854,TRACKING,TRACKING
13,4.85,0.971,4.0609,0.819,LOCKED,TRACKING
14,4.85,0.979,4.07,0.836,LOCKED,TRACKING
15,4.85,0.915,4.2614,0.822,LOCKED,TRACKING
16,4.85,0.98,4.5722,0.855,LOCKED,TRACKING
17,4.85,0.978,4.4905,0.901,LOCKED,TRACKING
18,4.85,0.979,4.5706,0.895,LOCKED,TRACKING
19,4.85,0.977,4.4425,0.899,LOCKED,TRACKING
20,4.85,0.983,4.5168,0.884,LOCKED,TRACKING
21,4.85,0.974,4.7619,0.88,LOCKED,TRACKING
22,4.85,0.976,5.1317,0.899,LOCKED,TRACKING
23,4.85,0.975,5.12,0.908,LOCKED,LOCKED
24,4.85,0.975,5.12,0.939,LOCKED,LOCKED
25,4.85,0.986,5.12,0.92,LOCKED,LOCKED
